filename,emotion
1.wav,Suprised
2.wav,Angry
3.wav,Angry
4.wav,Happy
5.wav,Neutral
6.wav,Disgusted
7.wav,Neutral
8.wav,Neutral
9.wav,Happy
10.wav,Disgusted
11.wav,Angry
12.wav,Sad
13.wav,Sad
14.wav,Happy
15.wav,Angry
16.wav,Angry
17.wav,Disgusted
18.wav,Neutral
19.wav,Suprised
20.wav,Angry
21.wav,Neutral
22.wav,Suprised
23.wav,Disgusted
24.wav,Angry
25.wav,Angry
26.wav,Sad
27.wav,Angry
28.wav,Angry
29.wav,Suprised
30.wav,Sad
31.wav,Sad
32.wav,Suprised
33.wav,Angry
34.wav,Angry
35.wav,Neutral
36.wav,Neutral
37.wav,Sad
38.wav,Sad
39.wav,Sad
40.wav,Happy
41.wav,Sad
42.wav,Sad
43.wav,Neutral
44.wav,Sad
45.wav,Angry
46.wav,Suprised
47.wav,Angry
48.wav,Suprised
49.wav,Fearful
50.wav,Happy
51.wav,Angry
52.wav,Angry
53.wav,Fearful
54.wav,Angry
55.wav,Sad
56.wav,Angry
57.wav,Neutral
58.wav,Neutral
59.wav,Happy
60.wav,Happy
61.wav,Angry
62.wav,Sad
63.wav,Sad
64.wav,Fearful
65.wav,Neutral
66.wav,Suprised
67.wav,Sad
68.wav,Angry
69.wav,Angry
70.wav,Angry
71.wav,Neutral
72.wav,Neutral
73.wav,Angry
74.wav,Sad
75.wav,Sad
76.wav,Neutral
77.wav,Neutral
78.wav,Angry
79.wav,Sad
80.wav,Happy
81.wav,Neutral
82.wav,Suprised
83.wav,Happy
84.wav,Angry
85.wav,Suprised
86.wav,Angry
87.wav,Angry
88.wav,Sad
89.wav,Sad
90.wav,Neutral
91.wav,Angry
92.wav,Sad
93.wav,Sad
94.wav,Angry
95.wav,Angry
96.wav,Happy
97.wav,Fearful
98.wav,Neutral
99.wav,Neutral
100.wav,Angry
101.wav,Suprised
102.wav,Suprised
103.wav,Sad
104.wav,Happy
105.wav,Happy
106.wav,Angry
107.wav,Angry
108.wav,Sad
109.wav,Happy
110.wav,Sad
111.wav,Suprised
112.wav,Sad
113.wav,Sad
114.wav,Suprised
115.wav,Neutral
116.wav,Angry
117.wav,Angry
118.wav,Suprised
119.wav,Angry
120.wav,Disgusted
121.wav,Sad
122.wav,Angry
123.wav,Angry
124.wav,Disgusted
125.wav,Sad
126.wav,Angry
127.wav,Neutral
128.wav,Happy
129.wav,Suprised
130.wav,Sad
131.wav,Suprised
132.wav,Happy
133.wav,Happy
134.wav,Sad
135.wav,Neutral
136.wav,Happy
137.wav,Suprised
138.wav,Angry
139.wav,Neutral
140.wav,Sad
141.wav,Sad
142.wav,Angry
143.wav,Angry
144.wav,Suprised
145.wav,Sad
146.wav,Happy
147.wav,Sad
148.wav,Angry
149.wav,Disgusted
150.wav,Angry
151.wav,Angry
152.wav,Happy
153.wav,Sad
154.wav,Sad
155.wav,Sad
