filename,emotion
1.wav,Disgusted
2.wav,Angry
3.wav,Angry
4.wav,Fearful
5.wav,Neutral
6.wav,Sad
7.wav,Neutral
8.wav,Neutral
9.wav,Happy
10.wav,Sad
11.wav,Angry
12.wav,Fearful
13.wav,Neutral
14.wav,Happy
15.wav,Happy
16.wav,Angry
17.wav,Fearful
18.wav,Happy
19.wav,Suprised
20.wav,Fearful
21.wav,Neutral
22.wav,Happy
23.wav,Disgusted
24.wav,Fearful
25.wav,Happy
26.wav,Happy
27.wav,Happy
28.wav,Disgusted
29.wav,Neutral
30.wav,Sad
31.wav,Disgusted
32.wav,Fearful
33.wav,Sad
34.wav,Angry
35.wav,Neutral
36.wav,Neutral
37.wav,Sad
38.wav,Neutral
39.wav,Fearful
40.wav,Happy
41.wav,Sad
42.wav,Fearful
43.wav,Neutral
44.wav,Sad
45.wav,Happy
46.wav,Suprised
47.wav,Angry
48.wav,Suprised
49.wav,Fearful
50.wav,Happy
51.wav,Disgusted
52.wav,Neutral
53.wav,Fearful
54.wav,Fearful
55.wav,Neutral
56.wav,Happy
57.wav,Neutral
58.wav,Happy
59.wav,Neutral
60.wav,Happy
61.wav,Fearful
62.wav,Sad
63.wav,Neutral
64.wav,Fearful
65.wav,Neutral
66.wav,Suprised
67.wav,Neutral
68.wav,Fearful
69.wav,Happy
70.wav,Happy
71.wav,Neutral
72.wav,Happy
73.wav,Happy
74.wav,Sad
75.wav,Fearful
76.wav,Happy
77.wav,Happy
78.wav,Disgusted
79.wav,Sad
80.wav,Happy
81.wav,Neutral
82.wav,Suprised
83.wav,Happy
84.wav,Angry
85.wav,Neutral
86.wav,Angry
87.wav,Angry
88.wav,Fearful
89.wav,Sad
90.wav,Neutral
91.wav,Angry
92.wav,Fearful
93.wav,Sad
94.wav,Angry
95.wav,Angry
96.wav,Neutral
97.wav,Fearful
98.wav,Happy
99.wav,Neutral
100.wav,Angry
101.wav,Suprised
102.wav,Suprised
103.wav,Fearful
104.wav,Fearful
105.wav,Neutral
106.wav,Fearful
107.wav,Angry
108.wav,Sad
109.wav,Happy
110.wav,Sad
111.wav,Happy
112.wav,Fearful
113.wav,Fearful
114.wav,Disgusted
115.wav,Neutral
116.wav,Happy
117.wav,Angry
118.wav,Happy
119.wav,Happy
120.wav,Sad
121.wav,Sad
122.wav,Angry
123.wav,Angry
124.wav,Disgusted
125.wav,Sad
126.wav,Happy
127.wav,Sad
128.wav,Fearful
129.wav,Fearful
130.wav,Happy
131.wav,Suprised
132.wav,Happy
133.wav,Fearful
134.wav,Neutral
135.wav,Neutral
136.wav,Happy
137.wav,Suprised
138.wav,Happy
139.wav,Neutral
140.wav,Fearful
141.wav,Fearful
142.wav,Angry
143.wav,Suprised
144.wav,Happy
145.wav,Neutral
146.wav,Happy
147.wav,Sad
148.wav,Happy
149.wav,Disgusted
150.wav,Happy
151.wav,Suprised
152.wav,Happy
153.wav,Sad
154.wav,Sad
155.wav,Happy
156.wav,Sad
157.wav,Happy
158.wav,Happy
159.wav,Happy
160.wav,Happy
161.wav,Suprised
162.wav,Disgusted
163.wav,Fearful
164.wav,Neutral
165.wav,Neutral
166.wav,Sad
167.wav,Disgusted
168.wav,Disgusted
169.wav,Neutral
170.wav,Disgusted
171.wav,Fearful
172.wav,Disgusted
173.wav,Sad
174.wav,Fearful
175.wav,Suprised
176.wav,Happy
177.wav,Angry
178.wav,Fearful
179.wav,Happy
180.wav,Angry
181.wav,Disgusted
182.wav,Disgusted
183.wav,Suprised
184.wav,Angry
185.wav,Angry
186.wav,Neutral
187.wav,Suprised
188.wav,Happy
189.wav,Sad
190.wav,Disgusted
191.wav,Angry
192.wav,Fearful
193.wav,Neutral
194.wav,Neutral
195.wav,Happy
196.wav,Happy
197.wav,Fearful
198.wav,Happy
199.wav,Sad
200.wav,Happy
201.wav,Neutral
202.wav,Fearful
203.wav,Suprised
204.wav,Happy
205.wav,Neutral
206.wav,Angry
207.wav,Angry
208.wav,Neutral
209.wav,Sad
210.wav,Happy
211.wav,Happy
212.wav,Neutral
213.wav,Neutral
214.wav,Suprised
215.wav,Sad
216.wav,Fearful
217.wav,Sad
218.wav,Disgusted
219.wav,Sad
220.wav,Fearful
221.wav,Suprised
222.wav,Neutral
223.wav,Disgusted
224.wav,Neutral
225.wav,Sad
226.wav,Angry
227.wav,Disgusted
228.wav,Angry
229.wav,Neutral
230.wav,Neutral
231.wav,Neutral
232.wav,Sad
233.wav,Disgusted
234.wav,Sad
235.wav,Happy
236.wav,Fearful
237.wav,Fearful
238.wav,Neutral
239.wav,Sad
240.wav,Happy
241.wav,Fearful
242.wav,Angry
243.wav,Neutral
244.wav,Disgusted
245.wav,Fearful
246.wav,Happy
247.wav,Disgusted
248.wav,Happy
249.wav,Neutral
250.wav,Angry
251.wav,Angry
252.wav,Happy
253.wav,Disgusted
254.wav,Sad
255.wav,Happy
256.wav,Neutral
257.wav,Neutral
258.wav,Angry
259.wav,Angry
260.wav,Sad
261.wav,Neutral
262.wav,Fearful
263.wav,Happy
264.wav,Angry
265.wav,Happy
266.wav,Happy
267.wav,Fearful
268.wav,Neutral
269.wav,Fearful
270.wav,Happy
271.wav,Disgusted
272.wav,Disgusted
273.wav,Happy
274.wav,Fearful
275.wav,Angry
276.wav,Sad
277.wav,Angry
278.wav,Angry
279.wav,Sad
280.wav,Neutral
281.wav,Sad
282.wav,Neutral
283.wav,Neutral
284.wav,Disgusted
285.wav,Angry
286.wav,Neutral
287.wav,Fearful
288.wav,Happy
289.wav,Suprised
290.wav,Disgusted
291.wav,Sad
292.wav,Happy
293.wav,Fearful
294.wav,Sad
295.wav,Fearful
296.wav,Happy
297.wav,Angry
298.wav,Fearful
299.wav,Happy
300.wav,Disgusted
301.wav,Fearful
302.wav,Fearful
303.wav,Angry
304.wav,Sad
305.wav,Fearful
306.wav,Fearful
307.wav,Fearful
308.wav,Neutral
309.wav,Happy
310.wav,Neutral
311.wav,Sad
312.wav,Fearful
313.wav,Angry
314.wav,Fearful
315.wav,Fearful
316.wav,Neutral
317.wav,Angry
318.wav,Fearful
319.wav,Suprised
320.wav,Fearful
321.wav,Happy
322.wav,Angry
323.wav,Happy
324.wav,Neutral
325.wav,Angry
326.wav,Neutral
327.wav,Angry
328.wav,Happy
329.wav,Angry
330.wav,Disgusted
331.wav,Sad
332.wav,Angry
333.wav,Happy
334.wav,Fearful
335.wav,Neutral
336.wav,Angry
337.wav,Happy
338.wav,Sad
339.wav,Sad
340.wav,Sad
341.wav,Neutral
342.wav,Happy
343.wav,Happy
344.wav,Sad
345.wav,Angry
346.wav,Disgusted
347.wav,Disgusted
348.wav,Neutral
349.wav,Sad
350.wav,Fearful
351.wav,Angry
352.wav,Happy
353.wav,Sad
354.wav,Disgusted
355.wav,Fearful
356.wav,Angry
357.wav,Sad
358.wav,Disgusted
359.wav,Fearful
360.wav,Angry
361.wav,Fearful
362.wav,Fearful
363.wav,Happy
364.wav,Suprised
365.wav,Neutral
366.wav,Happy
367.wav,Sad
